"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:52:32.9367030 AM","AUDIODG.EXE","1768","Process Start","","SUCCESS","Parent PID: 1752, Command line: C:\Windows\system32\AUDIODG.EXE 0x2e0 0x230, Current directory: C:\Windows\system32\, Environment: ;	ALLUSERSPROFILE=C:\ProgramData;	APPDATA=C:\Windows\ServiceProfiles\LocalService\AppData\Roaming;	CommonProgramFiles=C:\Program Files\Common Files;	CommonProgramFiles(x86)=C:\Program Files (x86)\Common Files;	CommonProgramW6432=C:\Program Files\Common Files;	COMPUTERNAME=DESKTOP-2OEH8H0;	ComSpec=C:\Windows\system32\cmd.exe;	DriverData=C:\Windows\System32\Drivers\DriverData;	LOCALAPPDATA=C:\Windows\ServiceProfiles\LocalService\AppData\Local;	NUMBER_OF_PROCESSORS=1;	OS=Windows_NT;	Path=C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Windows\ServiceProfiles\LocalService\AppData\Local\Microsoft\WindowsApps;	PATHEXT=.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC;	PROCESSOR_ARCHITECTURE=AMD64;	PROCESSOR_IDENTIFIER=Intel64 Family 6 Model 154 Stepping 3, GenuineIntel;	PROCESSOR_LEVEL=6;	PROCESSOR_REVISION=9a03;	ProgramData=C:\ProgramData;	ProgramFiles=C:\Program Files;	ProgramFiles(x86)=C:\Program Files (x86);	ProgramW6432=C:\Program Files;	PSModulePath=%ProgramFiles%\WindowsPowerShell\Modules;C:\Windows\system32\WindowsPowerShell\v1.0\Modules;	PUBLIC=C:\Users\Public;	SystemDrive=C:;	SystemRoot=C:\Windows;	TEMP=C:\Windows\SERVIC~1\LOCALS~1\AppData\Local\Temp;	TMP=C:\Windows\SERVIC~1\LOCALS~1\AppData\Local\Temp;	USERDOMAIN=NT AUTHORITY;	USERNAME=LOCAL SERVICE;	USERPROFILE=C:\Windows\ServiceProfiles\LocalService;	windir=C:\Windows"
"9:52:32.9367169 AM","AUDIODG.EXE","1768","Thread Create","","SUCCESS","Thread ID: 5020"
"9:52:32.9592725 AM","AUDIODG.EXE","1768","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 454,656, Working Set: 1,191,936"
"9:52:32.9884154 AM","AUDIODG.EXE","1768","Load Image","C:\Windows\System32\audiodg.exe","SUCCESS","Image Base: 0x7ff7ad110000, Image Size: 0x9f000"
"9:52:32.9885182 AM","AUDIODG.EXE","1768","Load Image","C:\Windows\System32\ntdll.dll","SUCCESS","Image Base: 0x7fff76a30000, Image Size: 0x1f8000"
"9:52:32.9887709 AM","AUDIODG.EXE","1768","CreateFile","C:\Windows\Prefetch\AUDIODG.EXE-AB22E9A6.pf","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: None, AllocationSize: n/a, OpenResult: Opened"
"9:52:32.9889312 AM","AUDIODG.EXE","1768","QueryEAFile","C:\Windows\Prefetch\AUDIODG.EXE-AB22E9A6.pf","SUCCESS",""
"9:52:32.9899222 AM","AUDIODG.EXE","1768","QueryStandardInformationFile","C:\Windows\Prefetch\AUDIODG.EXE-AB22E9A6.pf","SUCCESS","AllocationSize: 8,192, EndOfFile: 7,272, NumberOfLinks: 1, DeletePending: False, Directory: False"
"9:52:32.9899634 AM","AUDIODG.EXE","1768","ReadFile","C:\Windows\Prefetch\AUDIODG.EXE-AB22E9A6.pf","SUCCESS","Offset: 0, Length: 7,272, Priority: Normal"
"9:52:32.9902931 AM","AUDIODG.EXE","1768","CloseFile","C:\Windows\Prefetch\AUDIODG.EXE-AB22E9A6.pf","SUCCESS",""
"9:52:33.4674002 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value"
"9:52:33.4674410 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value"
"9:52:33.4674893 AM","AUDIODG.EXE","1768","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\RaiseExceptionOnPossibleDeadlock","NAME NOT FOUND","Length: 80"
"9:52:33.4675342 AM","AUDIODG.EXE","1768","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"9:52:33.4675663 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Segment Heap","REPARSE","Desired Access: Query Value"
"9:52:33.4675977 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\Segment Heap","NAME NOT FOUND","Desired Access: Query Value"
"9:52:33.4676784 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"9:52:33.4677055 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"9:52:33.4677368 AM","AUDIODG.EXE","1768","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"9:52:33.4677686 AM","AUDIODG.EXE","1768","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"9:52:33.4687012 AM","AUDIODG.EXE","1768","CreateFile","C:\Windows\System32","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:52:33.4690377 AM","AUDIODG.EXE","1768","Load Image","C:\Windows\System32\kernel32.dll","SUCCESS","Image Base: 0x7fff75fc0000, Image Size: 0xbd000"
"9:52:33.4694893 AM","AUDIODG.EXE","1768","Load Image","C:\Windows\System32\KernelBase.dll","SUCCESS","Image Base: 0x7fff74740000, Image Size: 0x2f6000"
"9:52:33.4711236 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\StateSeparation\RedirectionMap\Keys","REPARSE","Desired Access: Read"
"9:52:33.4711598 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\StateSeparation\RedirectionMap\Keys","NAME NOT FOUND","Desired Access: Read"
"9:52:33.4716847 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","REPARSE","Desired Access: Query Value, Set Value"
"9:52:33.4717264 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","NAME NOT FOUND","Desired Access: Query Value, Set Value"
"9:52:33.4717706 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","REPARSE","Desired Access: Read"
"9:52:33.4717969 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","NAME NOT FOUND","Desired Access: Read"
"9:52:33.4719236 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","SUCCESS","Desired Access: Query Value"
"9:52:33.4719892 AM","AUDIODG.EXE","1768","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers\TransparentEnabled","NAME NOT FOUND","Length: 80"
"9:52:33.4720508 AM","AUDIODG.EXE","1768","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers","SUCCESS",""
"9:52:33.4720937 AM","AUDIODG.EXE","1768","RegOpenKey","HKU\S-1-5-19\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","NAME NOT FOUND","Desired Access: Query Value"
"9:52:33.4722383 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem\","REPARSE","Desired Access: Read"
"9:52:33.4722596 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","Desired Access: Read"
"9:52:33.4722883 AM","AUDIODG.EXE","1768","RegQueryValue","HKLM\System\CurrentControlSet\Control\FileSystem\LongPathsEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"9:52:33.4723261 AM","AUDIODG.EXE","1768","RegCloseKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS",""
"9:52:33.4727424 AM","AUDIODG.EXE","1768","Load Image","C:\Windows\System32\ucrtbase.dll","SUCCESS","Image Base: 0x7fff74110000, Image Size: 0x100000"
"9:52:33.4731404 AM","AUDIODG.EXE","1768","Thread Create","","SUCCESS","Thread ID: 4060"
"9:52:33.4735171 AM","AUDIODG.EXE","1768","Load Image","C:\Windows\System32\cfgmgr32.dll","SUCCESS","Image Base: 0x7fff74a40000, Image Size: 0x4e000"
"9:52:33.4740515 AM","AUDIODG.EXE","1768","Load Image","C:\Windows\System32\combase.dll","SUCCESS","Image Base: 0x7fff75ab0000, Image Size: 0x354000"
"9:52:33.4744344 AM","AUDIODG.EXE","1768","Load Image","C:\Windows\System32\rpcrt4.dll","SUCCESS","Image Base: 0x7fff75980000, Image Size: 0x126000"
"9:52:33.4752053 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value"
"9:52:33.4752442 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value"
"9:52:33.4752898 AM","AUDIODG.EXE","1768","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\SafeDllSearchMode","NAME NOT FOUND","Length: 16"
"9:52:33.4755897 AM","AUDIODG.EXE","1768","QueryOpen","C:\Windows\System32\MMDevAPI.dll","FAST IO DISALLOWED",""
"9:52:33.4757420 AM","AUDIODG.EXE","1768","CreateFile","C:\Windows\System32\MMDevAPI.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:52:33.4758220 AM","AUDIODG.EXE","1768","QueryBasicInformationFile","C:\Windows\System32\MMDevAPI.dll","SUCCESS","CreationTime: 12/3/2023 7:45:36 PM, LastAccessTime: 3/12/2026 9:52:32 AM, LastWriteTime: 12/3/2023 7:45:36 PM, ChangeTime: 2/5/2026 5:39:00 PM, FileAttributes: A"
"9:52:33.4758448 AM","AUDIODG.EXE","1768","CloseFile","C:\Windows\System32\MMDevAPI.dll","SUCCESS",""
"9:52:33.4758793 AM","AUDIODG.EXE","1768","IRP_MJ_CLOSE","C:\Windows\System32\MMDevAPI.dll","SUCCESS",""
"9:52:33.4760791 AM","AUDIODG.EXE","1768","CreateFile","C:\Windows\System32\MMDevAPI.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:52:33.4761999 AM","AUDIODG.EXE","1768","CreateFileMapping","C:\Windows\System32\MMDevAPI.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READWRITE|PAGE_NOCACHE"
"9:52:33.4762242 AM","AUDIODG.EXE","1768","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\MMDevAPI.dll","SUCCESS",""
"9:52:33.4762479 AM","AUDIODG.EXE","1768","CreateFileMapping","C:\Windows\System32\MMDevAPI.dll","SUCCESS","SyncType: SyncTypeOther"
"9:52:33.4762644 AM","AUDIODG.EXE","1768","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\MMDevAPI.dll","SUCCESS",""
"9:52:33.4764835 AM","AUDIODG.EXE","1768","Load Image","C:\Windows\System32\MMDevAPI.dll","SUCCESS","Image Base: 0x7fff69cb0000, Image Size: 0x85000"
"9:52:33.4768669 AM","AUDIODG.EXE","1768","Load Image","C:\Windows\System32\msvcp_win.dll","SUCCESS","Image Base: 0x7fff742b0000, Image Size: 0x9d000"
"9:52:33.4772441 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"9:52:33.4772843 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"9:52:33.4773273 AM","AUDIODG.EXE","1768","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"9:52:33.4773672 AM","AUDIODG.EXE","1768","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"9:52:33.4776598 AM","AUDIODG.EXE","1768","Load Image","C:\Windows\System32\sechost.dll","SUCCESS","Image Base: 0x7fff751a0000, Image Size: 0x9c000"
"9:52:33.4781427 AM","AUDIODG.EXE","1768","Load Image","C:\Windows\System32\SHCore.dll","SUCCESS","Image Base: 0x7fff74a90000, Image Size: 0xad000"
"9:52:33.4785139 AM","AUDIODG.EXE","1768","Load Image","C:\Windows\System32\msvcrt.dll","SUCCESS","Image Base: 0x7fff76110000, Image Size: 0x9e000"
"9:52:33.4787651 AM","AUDIODG.EXE","1768","CloseFile","C:\Windows\System32\MMDevAPI.dll","SUCCESS",""
"9:52:33.4788133 AM","AUDIODG.EXE","1768","IRP_MJ_CLOSE","C:\Windows\System32\MMDevAPI.dll","SUCCESS",""
"9:52:33.4800159 AM","AUDIODG.EXE","1768","QueryOpen","C:\Windows\System32\devobj.dll","FAST IO DISALLOWED",""
"9:52:33.4801659 AM","AUDIODG.EXE","1768","CreateFile","C:\Windows\System32\devobj.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:52:33.4802327 AM","AUDIODG.EXE","1768","QueryBasicInformationFile","C:\Windows\System32\devobj.dll","SUCCESS","CreationTime: 12/3/2023 7:46:24 PM, LastAccessTime: 3/12/2026 9:52:32 AM, LastWriteTime: 12/3/2023 7:46:24 PM, ChangeTime: 2/5/2026 5:48:55 PM, FileAttributes: A"
"9:52:33.4802543 AM","AUDIODG.EXE","1768","CloseFile","C:\Windows\System32\devobj.dll","SUCCESS",""
"9:52:33.4802871 AM","AUDIODG.EXE","1768","IRP_MJ_CLOSE","C:\Windows\System32\devobj.dll","SUCCESS",""
"9:52:33.4804738 AM","AUDIODG.EXE","1768","CreateFile","C:\Windows\System32\devobj.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:52:33.4805862 AM","AUDIODG.EXE","1768","CreateFileMapping","C:\Windows\System32\devobj.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READWRITE|PAGE_NOCACHE"
"9:52:33.4806094 AM","AUDIODG.EXE","1768","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\devobj.dll","SUCCESS",""
"9:52:33.4806327 AM","AUDIODG.EXE","1768","CreateFileMapping","C:\Windows\System32\devobj.dll","SUCCESS","SyncType: SyncTypeOther"
"9:52:33.4806479 AM","AUDIODG.EXE","1768","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\devobj.dll","SUCCESS",""
"9:52:33.4808442 AM","AUDIODG.EXE","1768","Load Image","C:\Windows\System32\devobj.dll","SUCCESS","Image Base: 0x7fff73c30000, Image Size: 0x33000"
"9:52:33.4810600 AM","AUDIODG.EXE","1768","CloseFile","C:\Windows\System32\devobj.dll","SUCCESS",""
"9:52:33.4811109 AM","AUDIODG.EXE","1768","IRP_MJ_CLOSE","C:\Windows\System32\devobj.dll","SUCCESS",""
"9:52:33.4837269 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions","REPARSE","Desired Access: Read"
"9:52:33.4837763 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions","SUCCESS","Desired Access: Read"
"9:52:33.4838340 AM","AUDIODG.EXE","1768","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions\(Default)","SUCCESS","Type: REG_SZ, Length: 18, Data: 00060305"
"9:52:33.4838873 AM","AUDIODG.EXE","1768","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions\000603xx","SUCCESS","Type: REG_SZ, Length: 26, Data: kernel32.dll"
"9:52:33.4855657 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"9:52:33.4856106 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"9:52:33.4856544 AM","AUDIODG.EXE","1768","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"9:52:33.4857150 AM","AUDIODG.EXE","1768","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"9:52:33.4864103 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read"
"9:52:33.4864741 AM","AUDIODG.EXE","1768","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:52:33.4865100 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\SOFTWARE\Microsoft\OLE","SUCCESS","Desired Access: Read"
"9:52:33.4865703 AM","AUDIODG.EXE","1768","RegQueryValue","HKLM\SOFTWARE\Microsoft\Ole\PageAllocatorUseSystemHeap","NAME NOT FOUND","Length: 20"
"9:52:33.4866328 AM","AUDIODG.EXE","1768","RegCloseKey","HKLM\SOFTWARE\Microsoft\Ole","SUCCESS",""
"9:52:33.4866673 AM","AUDIODG.EXE","1768","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:52:33.4866995 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\SOFTWARE\Microsoft\OLE","SUCCESS","Desired Access: Read"
"9:52:33.4867403 AM","AUDIODG.EXE","1768","RegQueryValue","HKLM\SOFTWARE\Microsoft\Ole\PageAllocatorSystemHeapIsPrivate","NAME NOT FOUND","Length: 20"
"9:52:33.4867793 AM","AUDIODG.EXE","1768","RegCloseKey","HKLM\SOFTWARE\Microsoft\Ole","SUCCESS",""
"9:52:33.4868091 AM","AUDIODG.EXE","1768","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:52:33.4868400 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\SOFTWARE\Microsoft\OLE","SUCCESS","Desired Access: Read"
"9:52:33.4868786 AM","AUDIODG.EXE","1768","RegQueryValue","HKLM\SOFTWARE\Microsoft\Ole\AggressiveMTATesting","NAME NOT FOUND","Length: 16"
"9:52:33.4869161 AM","AUDIODG.EXE","1768","RegCloseKey","HKLM\SOFTWARE\Microsoft\Ole","SUCCESS",""
"9:52:33.4872889 AM","AUDIODG.EXE","1768","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:52:33.4873218 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM","SUCCESS","Desired Access: Read"
"9:52:33.4873716 AM","AUDIODG.EXE","1768","RegSetInfoKey","HKLM","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"9:52:33.4874134 AM","AUDIODG.EXE","1768","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x100"
"9:52:33.4875028 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\Software\Microsoft\Ole\FeatureDevelopmentProperties","NAME NOT FOUND","Desired Access: Read"
"9:52:33.4875767 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\SOFTWARE\Microsoft\AppModel\Lookaside\Packages","NAME NOT FOUND","Desired Access: Read"
"9:52:33.4876504 AM","AUDIODG.EXE","1768","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x100"
"9:52:33.4876790 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\Software\Microsoft\Ole\FeatureDevelopmentProperties","NAME NOT FOUND","Desired Access: Read"
"9:52:33.4877190 AM","AUDIODG.EXE","1768","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x100"
"9:52:33.4877460 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\Software\Microsoft\Ole","SUCCESS","Desired Access: Read"
"9:52:33.4878612 AM","AUDIODG.EXE","1768","RegOpenKey","HKU\S-1-5-19","SUCCESS","Desired Access: Read"
"9:52:33.4879190 AM","AUDIODG.EXE","1768","RegQueryKey","HKU\S-1-5-19","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:52:33.4879467 AM","AUDIODG.EXE","1768","RegOpenKey","HKU\S-1-5-19\Software\Classes\Local Settings","NAME NOT FOUND","Desired Access: Read"
"9:52:33.4879896 AM","AUDIODG.EXE","1768","RegCloseKey","HKU\S-1-5-19","SUCCESS",""
"9:52:33.4880859 AM","AUDIODG.EXE","1768","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:52:33.4881119 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\Software\Microsoft\OLE\Tracing","NAME NOT FOUND","Desired Access: Read"
"9:52:33.4893867 AM","AUDIODG.EXE","1768","QueryNameInformationFile","C:\Windows\System32\audiodg.exe","SUCCESS","Name: \Windows\System32\audiodg.exe"
"9:52:33.4899625 AM","AUDIODG.EXE","1768","ReadFile","C:\Windows\System32\audiodg.exe","SUCCESS","Offset: 532,992, Length: 16,384, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"9:52:33.4907830 AM","AUDIODG.EXE","1768","QueryOpen","C:\Windows\System32\rpcss.dll","FAST IO DISALLOWED",""
"9:52:33.4910164 AM","AUDIODG.EXE","1768","CreateFile","C:\Windows\System32\rpcss.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:52:33.4910958 AM","AUDIODG.EXE","1768","QueryBasicInformationFile","C:\Windows\System32\rpcss.dll","SUCCESS","CreationTime: 12/3/2023 7:46:23 PM, LastAccessTime: 3/12/2026 9:52:33 AM, LastWriteTime: 12/3/2023 7:46:23 PM, ChangeTime: 2/5/2026 5:39:05 PM, FileAttributes: A"
"9:52:33.4911243 AM","AUDIODG.EXE","1768","CloseFile","C:\Windows\System32\rpcss.dll","SUCCESS",""
"9:52:33.4911613 AM","AUDIODG.EXE","1768","IRP_MJ_CLOSE","C:\Windows\System32\rpcss.dll","SUCCESS",""
"9:52:33.4913486 AM","AUDIODG.EXE","1768","CreateFile","C:\Windows\System32\rpcss.dll","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:52:33.4914634 AM","AUDIODG.EXE","1768","CreateFileMapping","C:\Windows\System32\rpcss.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READWRITE|PAGE_NOCACHE"
"9:52:33.4915562 AM","AUDIODG.EXE","1768","QueryStandardInformationFile","C:\Windows\System32\rpcss.dll","SUCCESS","AllocationSize: 1,323,008, EndOfFile: 1,322,496, NumberOfLinks: 2, DeletePending: False, Directory: False"
"9:52:33.4915785 AM","AUDIODG.EXE","1768","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\rpcss.dll","SUCCESS",""
"9:52:33.4916006 AM","AUDIODG.EXE","1768","CreateFileMapping","C:\Windows\System32\rpcss.dll","SUCCESS","SyncType: SyncTypeOther"
"9:52:33.4916179 AM","AUDIODG.EXE","1768","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\rpcss.dll","SUCCESS",""
"9:52:33.4917566 AM","AUDIODG.EXE","1768","CloseFile","C:\Windows\System32\rpcss.dll","SUCCESS",""
"9:52:33.4917968 AM","AUDIODG.EXE","1768","IRP_MJ_CLOSE","C:\Windows\System32\rpcss.dll","SUCCESS",""
"9:52:33.4921907 AM","AUDIODG.EXE","1768","QueryOpen","C:\Windows\System32\kernel.appcore.dll","FAST IO DISALLOWED",""
"9:52:33.4923349 AM","AUDIODG.EXE","1768","CreateFile","C:\Windows\System32\kernel.appcore.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:52:33.4923788 AM","AUDIODG.EXE","1768","QueryBasicInformationFile","C:\Windows\System32\kernel.appcore.dll","SUCCESS","CreationTime: 12/3/2023 7:46:10 PM, LastAccessTime: 3/12/2026 9:52:01 AM, LastWriteTime: 12/3/2023 7:46:10 PM, ChangeTime: 2/5/2026 5:49:08 PM, FileAttributes: A"
"9:52:33.4924066 AM","AUDIODG.EXE","1768","CloseFile","C:\Windows\System32\kernel.appcore.dll","SUCCESS",""
"9:52:33.4924385 AM","AUDIODG.EXE","1768","IRP_MJ_CLOSE","C:\Windows\System32\kernel.appcore.dll","SUCCESS",""
"9:52:33.4927152 AM","AUDIODG.EXE","1768","CreateFile","C:\Windows\System32\kernel.appcore.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:52:33.4928118 AM","AUDIODG.EXE","1768","CreateFileMapping","C:\Windows\System32\kernel.appcore.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READWRITE|PAGE_NOCACHE"
"9:52:33.4928303 AM","AUDIODG.EXE","1768","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\kernel.appcore.dll","SUCCESS",""
"9:52:33.4928520 AM","AUDIODG.EXE","1768","CreateFileMapping","C:\Windows\System32\kernel.appcore.dll","SUCCESS","SyncType: SyncTypeOther"
"9:52:33.4928781 AM","AUDIODG.EXE","1768","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\kernel.appcore.dll","SUCCESS",""
"9:52:33.4931116 AM","AUDIODG.EXE","1768","Load Image","C:\Windows\System32\kernel.appcore.dll","SUCCESS","Image Base: 0x7fff71ff0000, Image Size: 0x12000"
"9:52:33.4933149 AM","AUDIODG.EXE","1768","CloseFile","C:\Windows\System32\kernel.appcore.dll","SUCCESS",""
"9:52:33.4933579 AM","AUDIODG.EXE","1768","IRP_MJ_CLOSE","C:\Windows\System32\kernel.appcore.dll","SUCCESS",""
